#time 		photoelectrons 	error 		visit 	orbit 	scan 	wave_center 	wave_start 	wave_end
0.395048218673 9682271.21781 3364842.20861 0.875 0.0 2458059.9732 0.0 0.0 0.0
0.396746528472 9727922.58329 3380268.18837 0.875 0.0 2458059.97527 0.0 0.0 1.0
0.398444982946 9709795.60024 3374434.9445 0.875 0.0 2458059.97734 0.0 0.0 0.0
0.400143282056 9743946.88343 3385479.93369 0.875 0.0 2458059.97942 0.0 0.0 1.0
0.401841728896 9732528.83904 3382372.38372 0.875 0.0 2458059.98149 0.0 0.0 0.0
0.403540023807 9763064.35823 3392100.48128 0.875 0.0 2458059.98356 0.0 0.0 1.0
0.40523846492 9745690.45003 3386795.19324 0.875 0.0 2458059.98563 0.0 0.0 0.0
0.406936745325 9781244.25316 3398446.59717 0.875 0.0 2458059.9877 0.0 0.0 1.0
0.408635172696 9761279.91396 3391745.06221 0.875 0.0 2458059.98977 0.0 0.0 0.0
0.410333443177 9789731.89376 3400987.17821 0.875 0.0 2458059.99185 0.0 0.0 1.0
0.412031861387 9769701.30945 3394755.8161 0.875 0.0 2458059.99392 0.0 0.0 0.0
0.413730127668 9793718.56944 3402224.04417 0.875 0.0 2458059.99599 0.0 0.0 1.0
0.447374666124 9753924.05709 3388783.55827 0.875 0.0 2458060.03703 0.0 1.0 0.0
0.449073124797 9785833.82183 3399601.49999 0.875 0.0 2458060.0391 0.0 1.0 1.0
0.450771430397 9768856.3932 3394460.84663 0.875 0.0 2458060.04118 0.0 1.0 0.0
0.452469885252 9795204.27372 3402540.30439 0.875 0.0 2458060.04325 0.0 1.0 1.0
0.454168184745 9771546.91226 3395303.73076 0.875 0.0 2458060.04532 0.0 1.0 0.0
0.455866636546 9797107.96659 3403566.22974 0.875 0.0 2458060.04739 0.0 1.0 1.0
0.457564931457 9778272.8452 3397497.27017 0.875 0.0 2458060.04946 0.0 1.0 0.0
0.459263369135 9801254.27378 3404798.93808 0.875 0.0 2458060.05153 0.0 1.0 1.0
0.460961650304 9779769.58154 3398395.92773 0.875 0.0 2458060.05361 0.0 1.0 0.0
0.462660078057 9801336.50817 3404703.21465 0.875 0.0 2458060.05568 0.0 1.0 1.0
0.464358353118 9773336.67603 3395873.96205 0.875 0.0 2458060.05775 0.0 1.0 0.0
0.466056775909 9798961.59748 3404175.92427 0.875 0.0 2458060.05982 0.0 1.0 1.0
0.467755039136 9777158.22882 3397268.12552 0.875 0.0 2458060.06189 0.0 1.0 0.0
-0.498344183106 9754309.42959 3388977.7085 0.875 0.0 2458060.10325 0.0 2.0 0.0
-0.49664587598 9785574.65252 3399656.27677 0.875 0.0 2458060.10532 0.0 2.0 1.0
-0.494947414635 9766558.46939 3393430.63384 0.875 0.0 2458060.10739 0.0 2.0 0.0
-0.49324910789 9788955.139 3400623.65225 0.875 0.0 2458060.10946 0.0 2.0 1.0
-0.491550656852 9768347.45245 3393636.79137 0.875 0.0 2458060.11154 0.0 2.0 0.0
-0.489852361177 9788069.70157 3400344.07241 0.875 0.0 2458060.11361 0.0 2.0 1.0
-0.488153918537 9762094.65132 3392353.7896 0.875 0.0 2458060.11568 0.0 2.0 0.0
-0.486455628588 9782607.23102 3398221.47547 0.875 0.0 2458060.11775 0.0 2.0 1.0
-0.484757192055 9758529.68878 3390509.2271 0.875 0.0 2458060.11982 0.0 2.0 0.0
-0.483058915849 9779420.99092 3397322.97971 0.875 0.0 2458060.12189 0.0 2.0 1.0
-0.481360493059 9760553.66717 3391495.43829 0.875 0.0 2458060.12397 0.0 2.0 0.0
-0.479662226778 9782576.53994 3398353.56895 0.875 0.0 2458060.12604 0.0 2.0 1.0
-0.477963812004 9767855.03067 3393800.16713 0.875 0.0 2458060.12811 0.0 2.0 0.0
-0.44406318083 9757006.62161 3389626.36792 0.875 0.0 2458060.16946 0.0 3.0 0.0
-0.442364722539 9786316.88049 3399038.70624 0.875 0.0 2458060.17154 0.0 3.0 1.0
