#time 		photoelectrons 	error 		visit 	orbit 	scan 	wave_center 	wave_start 	wave_end
0.395048218673 12787009.6109 4426926.57509 0.925 0.0 2458059.9732 0.0 0.0 0.0
0.396746528472 12842707.3743 4446286.29634 0.925 0.0 2458059.97527 0.0 0.0 1.0
0.398444982946 12827341.7955 4442421.1336 0.925 0.0 2458059.97734 0.0 0.0 0.0
0.400143282056 12873510.0055 4457353.56784 0.925 0.0 2458059.97942 0.0 0.0 1.0
0.401841728896 12845929.22 4447216.56554 0.925 0.0 2458059.98149 0.0 0.0 0.0
0.403540023807 12895138.26 4464951.16778 0.925 0.0 2458059.98356 0.0 0.0 1.0
0.40523846492 12873591.0331 4458618.08316 0.925 0.0 2458059.98563 0.0 0.0 0.0
0.406936745325 12913967.9485 4471998.32158 0.925 0.0 2458059.9877 0.0 0.0 1.0
0.408635172696 12890880.7016 4464656.74698 0.925 0.0 2458059.98977 0.0 0.0 0.0
0.410333443177 12925734.1837 4474360.21007 0.925 0.0 2458059.99185 0.0 0.0 1.0
0.412031861387 12898857.9001 4465934.60387 0.925 0.0 2458059.99392 0.0 0.0 0.0
0.413730127668 12931290.8961 4476293.7644 0.925 0.0 2458059.99599 0.0 0.0 1.0
0.447374666124 12872888.0012 4455151.31359 0.925 0.0 2458060.03703 0.0 1.0 0.0
0.449073124797 12921486.236 4473156.81852 0.925 0.0 2458060.0391 0.0 1.0 1.0
0.450771430397 12892892.5143 4463899.12159 0.925 0.0 2458060.04118 0.0 1.0 0.0
0.452469885252 12935893.9535 4479275.39827 0.925 0.0 2458060.04325 0.0 1.0 1.0
0.454168184745 12907796.7127 4469821.55806 0.925 0.0 2458060.04532 0.0 1.0 0.0
0.455866636546 12938151.3473 4479946.16335 0.925 0.0 2458060.04739 0.0 1.0 1.0
0.457564931457 12913783.8211 4472646.06944 0.925 0.0 2458060.04946 0.0 1.0 0.0
0.459263369135 12940409.8162 4479624.99967 0.925 0.0 2458060.05153 0.0 1.0 1.0
0.460961650304 12907320.5426 4468613.04444 0.925 0.0 2458060.05361 0.0 1.0 0.0
0.462660078057 12938870.8802 4478943.2094 0.925 0.0 2458060.05568 0.0 1.0 1.0
0.464358353118 12910099.6587 4470596.57974 0.925 0.0 2458060.05775 0.0 1.0 0.0
0.466056775909 12936972.8902 4479552.69047 0.925 0.0 2458060.05982 0.0 1.0 1.0
0.467755039136 12900841.8768 4467194.84244 0.925 0.0 2458060.06189 0.0 1.0 0.0
-0.498344183106 12872805.3308 4455057.72303 0.925 0.0 2458060.10325 0.0 2.0 0.0
-0.49664587598 12924402.8668 4475174.24662 0.925 0.0 2458060.10532 0.0 2.0 1.0
-0.494947414635 12895540.3338 4465417.25447 0.925 0.0 2458060.10739 0.0 2.0 0.0
-0.49324910789 12919505.6345 4472075.63507 0.925 0.0 2458060.10946 0.0 2.0 1.0
-0.491550656852 12903907.7758 4470467.20879 0.925 0.0 2458060.11154 0.0 2.0 0.0
-0.489852361177 12926871.9101 4477008.79851 0.925 0.0 2458060.11361 0.0 2.0 1.0
-0.488153918537 12888706.1426 4462896.28412 0.925 0.0 2458060.11568 0.0 2.0 0.0
-0.486455628588 12908271.2062 4467429.35167 0.925 0.0 2458060.11775 0.0 2.0 1.0
-0.484757192055 12882433.2026 4461426.79188 0.925 0.0 2458060.11982 0.0 2.0 0.0
-0.483058915849 12908074.0869 4469352.59101 0.925 0.0 2458060.12189 0.0 2.0 1.0
-0.481360493059 12877430.9982 4458573.15858 0.925 0.0 2458060.12397 0.0 2.0 0.0
-0.479662226778 12915365.2359 4471740.99427 0.925 0.0 2458060.12604 0.0 2.0 1.0
-0.477963812004 12883207.1039 4459975.9205 0.925 0.0 2458060.12811 0.0 2.0 0.0
-0.44406318083 12874577.8649 4455876.14772 0.925 0.0 2458060.16946 0.0 3.0 0.0
-0.442364722539 12914339.2778 4469148.81958 0.925 0.0 2458060.17154 0.0 3.0 1.0
-0.440666417321 12901267.3297 4468704.01918 0.925 0.0 2458060.17361 0.0 3.0 0.0
-0.438967963229 12918701.7107 4471570.43124 0.925 0.0 2458060.17568 0.0 3.0 1.0
-0.43726965992 12902773.6127 4469234.32067 0.925 0.0 2458060.17775 0.0 3.0 0.0
-0.435571208881 12923239.1953 4473647.77667 0.925 0.0 2458060.17982 0.0 3.0 1.0
-0.433872918169 12897364.6436 4466074.19061 0.925 0.0 2458060.18189 0.0 3.0 0.0
-0.432174480491 12919784.019 4471836.31547 0.925 0.0 2458060.18397 0.0 3.0 1.0
-0.430476200086 12904481.8121 4469757.94696 0.925 0.0 2458060.18604 0.0 3.0 0.0
-0.428777772715 12923721.71 4473193.74948 0.925 0.0 2458060.18811 0.0 3.0 1.0
-0.427079497272 12902480.9541 4467976.38988 0.925 0.0 2458060.19018 0.0 3.0 0.0
-0.425381075245 12934616.2721 4479435.58909 0.925 0.0 2458060.19225 0.0 3.0 1.0
-0.423682812017 12903949.488 4468092.28683 0.925 0.0 2458060.19433 0.0 3.0 0.0
-0.389782041131 12884747.7482 4458505.84287 0.925 0.0 2458060.23568 0.0 4.0 0.0
-0.388083730569 12924195.5157 4473089.48784 0.925 0.0 2458060.23775 0.0 4.0 1.0
-0.386385269987 12913659.3771 4471763.79419 0.925 0.0 2458060.23982 0.0 4.0 0.0
-0.384686967824 12942155.6473 4480844.00963 0.925 0.0 2458060.2419 0.0 4.0 1.0
-0.382988517167 12914964.0463 4472208.11722 0.925 0.0 2458060.24397 0.0 4.0 0.0
